country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,565.57,522.08,525.47,491.34,496.6,510.79,356.5,357.26,413.76,
Africa Eastern and Southern,1479.62,1329.81,1520.21,1538.9,1493.82,1344.1,1522.39,1628.32,1568.16,1673.84
Africa Western and Central,1860.73,1630.04,1574.23,1720.14,1798.34,1680.04,1765.95,1796.67,1599.39,1284.15
Albania,3981.73,4168.38,4614.05,5365.49,5460.43,5370.78,6413.28,6846.43,8575.17,10011.63
Algeria,4685.06,4424.99,4554.67,4577.21,4468.45,3743.54,4160.56,4961.55,5364.03,5631.18
American Samoa,12727.41,12843.33,11863.68,12552.05,12886.14,14489.26,15236.16,18017.46,,
Andorra,38654.93,40129.82,40672.99,42819.77,41257.8,37361.09,42425.7,42414.06,46812.45,49303.67
Angola,3213.9,1807.95,2437.26,2538.59,2189.86,1449.92,1925.87,2929.69,2309.53,2122.08
Antigua and Barbuda,16077.63,16556.86,16965.73,18273.43,18896.37,15369.61,17348.6,20105.2,21494.55,23725.79
Arab World,6262.04,6012.51,6066.73,6668.22,6638.49,5722.48,6681.71,7931.62,7479.69,7521.15
Argentina,13679.63,12699.96,14532.5,11752.8,9955.97,8535.6,10738.02,13935.68,14187.48,13858.2
Armenia,3512.39,3524.42,3869.05,4196.01,4597.23,4268.68,4685.18,6571.97,8125.27,8500.61
Aruba,27458.23,27441.53,28440.05,30082.13,31096.21,22855.93,27200.06,30559.53,33984.79,
Australia,56739.03,49888.04,53901.71,57196.42,54972.7,51791.54,60607.78,64997.01,64835.92,64407.48
Austria,43915.23,45061.5,47163.74,51194.07,49885.99,48716.41,53648.72,52176.66,56033.57,56833.2
Azerbaijan,5500.5,3880.69,4147.2,4739.79,4805.75,4229.91,5408.05,7770.59,7133.03,7283.84
"Bahamas, The",30719.41,30616.54,31875.49,32642.34,33640.34,26178.75,30367.86,34957.16,38231.77,39455.45
Bahrain,23734.06,23800,24784.77,26324.41,27259.74,24342.84,27147.81,30470.52,29290.13,30048.22
Bangladesh,1224.39,1649.28,1811.08,1965.24,2129.8,2248.85,2482.85,2716.49,2551.02,2593.42
Barbados,18954.29,19065.81,19692.76,20055.92,20583.73,18347.11,18696.79,22164.03,23804.02,25365.79
Belarus,5967.06,5039.78,5785.54,6360.04,6837.77,6542.86,7489.72,7994.65,7896.75,8316.65
Belgium,40893.8,41854.55,44035.32,47487.21,46716.62,45906.29,51658.24,50822.25,54690.09,55954.61
Belize,6154.5,6142.5,6072.58,6031.28,6190.05,5227.19,6122.61,7068.45,7460,8429.68
Benin,1002.42,1010.53,1054.97,1151.74,1130.82,1200.19,1318.65,1266.43,1394.18,1485.38
Bermuda,104855.37,108747.36,112339.43,113204.82,115798.04,106976.55,112765.08,121613.94,132604.44,138934.96
Bhutan,2954.04,3152.31,3435.29,3400.2,3576.88,3191.67,3570.61,3711.33,3839.41,
Bolivia,2996.01,3035.87,3306.3,3500.73,3503.9,3099.94,3384.84,3643.93,3686.28,4001.21
Bosnia and Herzegovina,4662.26,4928.57,5345.02,6047.85,6122.38,6130.31,7295.34,7655.59,8663.02,8957.37
Botswana,6141.2,6749.06,7104.96,7407.96,7172.09,6323.3,7807.89,8328.71,7826.35,7695.24
Brazil,8936.2,8836.29,10080.51,9300.66,9029.83,7074.19,7972.54,9281.33,10377.59,10280.31
British Virgin Islands,,,,,,,,,,
Brunei Darussalam,30625.13,26663.3,28024.38,30988.12,30426.57,26834.36,31006.96,36632.93,32890.55,33417.84
Bulgaria,7268.65,7822.5,8696.69,9872.39,10372.8,10769.95,12972.22,13999.67,15883.86,17412.41
Burkina Faso,630.12,663.74,709.09,777.47,764.85,825.24,895.54,836.12,882.69,987.32
Burundi,280.97,235.29,236.69,224.9,210.24,210.01,214.09,250.63,192.07,153.93
Cabo Verde,3415.06,3608.97,3893.1,4294.97,4380.78,3539.23,3971.44,4323.31,4861.29,5272.85
Cambodia,1547.32,1675.2,1826.35,2036.67,2225.88,2081.74,2167.4,2325.03,2429.75,2627.88
Cameroon,1415,1441.72,1496.09,1610.7,1555.23,1555.6,1672.33,1604.88,1736.86,1762.37
Canada,43594.19,42314.06,45129.63,46539.18,46352.87,43537.84,52886.66,56256.8,54220.33,54282.62
Caribbean small states,14402.47,13297.74,13637.12,13815.33,13938.2,11925.76,13833.31,17355.84,17582.26,20173.96
Cayman Islands,76379.21,77802.25,80053.94,83865.55,88254.29,82338.8,86438.45,92202.15,97749.51,
Central African Republic,366.32,387.18,432.32,455.24,449.23,462.88,492.26,467.36,495.98,516.17
Central Europe and the Baltics,12596.95,12874.74,14339.86,16245.19,16551.85,16595.94,19239.82,19548.69,22699.54,24543.3
Chad,993.99,861.83,854.46,948.66,893.34,866.95,946.36,966.04,989.06,1016.09
Channel Islands,61852.07,55950.15,55806.57,60783.35,60568.11,56785.94,66912.18,67627.31,74589.14,
Chile,13433.92,13649.85,14879.91,15659.48,14495.72,13114.82,16206.83,15405.62,17067.04,16709.89
China,8175.33,8254.87,8979.68,10085.66,10342.9,10627.46,12887.44,12970.61,12951.18,13303.15
