,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR,GDP_per_capita
0,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2024,42044.654,42647.492,21532.54,21114.952,65.6827,101.9777,17.1159,1249.77,29.305,1205.676,2.827,24.5188,1492.956,143.175,35.007,4.7606,2.1235,30.443,105.1,243.186,127.754,115.433,5.702,66.2893,64.7043,67.8117,55.6628,54.273,56.9587,13.3583,12.595,13.9697,5.6249,5.3444,5.8223,63.496,42.6505,1439.795,80.29,54.4942,114.512,122.3091,106.3575,249.5329,274.4609,224.8054,101.7436,110.5445,92.7252,198.4914,221.6256,175.9458,-44.089,-1.034,471.0411111111111
1,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2023,40864.868,41454.761,20924.078,20530.683,63.8457,101.9161,16.9404,1228.733,29.64,1179.786,2.846,24.3551,1469.029,146.316,35.437,4.8403,2.1524,30.366,105.1,240.296,126.08,114.216,5.797,66.0346,64.4667,67.5357,55.5332,54.1516,56.8169,13.3291,12.571,13.9371,5.6126,5.3354,5.8083,64.348,43.9514,1415.366,81.378,56.162,117.652,125.3051,109.6545,253.5386,278.3373,229.1277,103.7876,112.5256,94.8531,201.1085,224.2414,178.7562,-48.958,-1.181,413.76
2,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2022,40292.816,40578.842,20475.675,20103.167,62.4967,101.853,16.7517,1219.461,30.052,572.052,1.41,49.1594,1462.654,148.818,36.045,4.9317,2.1859,30.374,105.2,243.193,128.445,114.748,5.993,65.617,63.9408,67.2357,55.2361,53.7271,56.6565,13.2796,12.5197,13.8908,5.5964,5.3179,5.7933,65.872,45.1915,1407.952,83.784,58.0385,123.0752,132.7588,112.9641,260.8733,288.3504,233.7682,108.9153,120.5091,97.0285,207.2249,233.3923,181.8401,-647.402,-15.954,357.26
3,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2021,39708.008,40000.412,20186.456,19813.956,61.6058,101.88,16.5753,1133.586,28.34,584.808,1.462,47.4109,1453.685,150.984,36.342,5.0391,2.2114,30.414,105.2,320.099,184.448,135.651,8.002,60.4174,57.0516,64.0793,49.949,46.5964,53.5737,11.6643,10.7863,12.4028,4.7762,4.5136,4.968,68.065,46.9239,1397.574,88.175,61.3673,174.0206,216.7301,127.8026,366.1995,434.97,291.2585,187.4871,243.1744,126.7582,316.9767,388.2573,239.896,-548.784,-13.719,356.5
4,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2020,38429.95,39068.979,19725.45,19343.529,60.1713,101.9744,16.4109,1134.429,29.036,1278.058,3.272,21.1842,1429.983,152.466,36.601,5.1453,2.258,30.275,105.2,295.554,167.467,128.088,7.565,61.4537,58.4546,64.6563,51.1784,48.2251,54.3079,11.7058,10.6755,12.6095,4.8955,4.492,5.212,68.452,48.0086,1373.725,88.718,62.8769,159.323,190.8581,125.5999,337.105,395.8878,275.164,160.4519,201.7709,116.2911,284.3806,344.7921,221.3018,143.634,3.676,510.79
5,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2019,37282.292,37856.121,19119.647,18736.474,58.3033,102.0451,16.2343,1138.495,30.074,1147.658,3.032,22.8611,1405.919,153.575,37.138,5.2383,2.297,30.137,105.3,267.424,152.307,115.118,7.064,62.9411,59.9101,66.1444,52.8643,49.887,55.983,13.0383,12.1914,13.7495,5.51,5.1918,5.7474,68.646,48.9811,1349.68,88.75,64.0056,161.9722,196.1052,125.2961,312.9087,370.1075,252.4378,153.8787,197.1047,107.5132,257.3729,315.9449,196.0125,9.159,0.242,496.6
6,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2018,36203.786,36743.039,18564.622,18178.417,56.589,102.1245,16.0508,1115.262,30.353,1078.506,2.935,23.6166,1382.424,154.275,37.624,5.3275,2.331,29.984,105.3,267.162,153.931,113.23,7.271,62.4434,59.1753,65.9424,52.4236,49.1876,55.861,13.0081,12.1413,13.7432,5.5034,5.1737,5.7525,68.996,50.0616,1326.12,89.077,65.3379,169.6496,208.1765,127.9316,322.6197,384.8905,256.1015,162.6715,211.5218,109.8383,266.7931,330.9522,198.8601,-36.753,-1.0,491.34
7,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2017,35174.083,35688.935,18038.999,17649.936,54.9656,102.2043,15.8683,1101.188,30.856,1029.703,2.885,24.0259,1362.27,155.032,38.171,5.4326,2.3676,29.85,105.4,261.082,148.47,112.612,7.315,62.4062,59.3876,65.6064,52.578,49.607,55.6999,12.9819,12.1415,13.6972,5.4959,5.1761,5.7387,69.977,51.5465,1305.441,90.851,67.6953,168.8889,203.074,132.0004,321.4089,378.6434,261.0235,158.7143,202.2362,112.0062,263.2864,322.1148,201.8087,-71.491,-2.003,525.47
8,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2016,34227.141,34700.612,17541.316,17159.297,53.4434,102.2263,15.6805,1089.999,31.412,946.942,2.729,25.3993,1344.01,156.705,38.732,5.5417,2.3894,29.734,105.5,254.011,136.873,117.137,7.32,62.6459,60.6609,64.64,53.4116,51.5522,55.2469,12.8675,12.1365,13.4845,5.4426,5.1741,5.6441,72.98,54.4866,1285.363,97.785,73.9115,159.6641,175.8938,142.5124,310.0626,346.2449,274.015,137.8566,158.6662,116.3432,244.3279,280.475,208.8532,-143.049,-4.122,522.08
9,143,4,,AFG,AF,4,4,Country/Area,5501,Afghanistan,2,Medium,2015,33436.386,33831.764,17099.52,16732.244,52.1053,102.195,15.4897,1077.067,31.836,790.755,2.337,29.6597,1331.758,158.688,39.364,5.6523,2.4237,29.605,105.6,254.691,136.591,118.099,7.528,62.2695,60.3628,64.1778,53.2275,51.4225,55.0036,12.818,12.0985,13.4277,5.4288,5.1641,5.628,74.501,56.1285,1272.248,100.283,76.5487,164.2069,179.3939,148.1823,315.8973,350.9083,281.2408,140.581,160.596,120.0043,248.1055,283.3873,213.6846,-286.314,-8.463,565.57
